######################################
Exploring the best parameters for the kernel mandel
using default
######################################
cpu,th,tw,threads,schedule,schedule_n,time
cortex,512,256,1,dynamic,1,12649.912
cortex,512,256,2,dynamic,1,6421.989
cortex,512,256,3,dynamic,1,4775.170
cortex,512,256,4,dynamic,1,4396.651
denver,512,256,1,dynamic,1,9241.932
denver,512,256,2,dynamic,1,4707.425
full_system,512,256,6,dynamic,1,3684.453
cortex,512,512,1,dynamic,1,12630.282
cortex,512,512,2,dynamic,1,6959.399
cortex,512,512,3,dynamic,1,5719.444
cortex,512,512,4,dynamic,1,5537.585
denver,512,512,1,dynamic,1,9231.034
denver,512,512,2,dynamic,1,5078.069
cortex,512,1024,1,dynamic,1,12673.233
cortex,512,1024,2,dynamic,1,9545.249
denver,512,1024,1,dynamic,1,9238.771
denver,512,1024,2,dynamic,1,7087.242
cortex,1024,64,1,dynamic,1,12639.325
cortex,1024,64,2,dynamic,1,6432.144
cortex,1024,64,3,dynamic,1,4340.356
cortex,1024,64,4,dynamic,1,3367.174
denver,1024,64,1,dynamic,1,9208.357
denver,1024,64,2,dynamic,1,4703.103
full_system,1024,64,6,dynamic,1,2760.596
cortex,1024,128,1,dynamic,1,12727.801
cortex,1024,128,2,dynamic,1,6513.135
cortex,1024,128,3,dynamic,1,4571.096
cortex,1024,128,4,dynamic,1,3698.223
denver,1024,128,1,dynamic,1,9206.878
denver,1024,128,2,dynamic,1,4762.244
full_system,1024,128,6,dynamic,1,3328.793
cortex,1024,256,1,dynamic,1,12720.643
cortex,1024,256,2,dynamic,1,6401.735
cortex,1024,256,3,dynamic,1,4810.350
cortex,1024,256,4,dynamic,1,4922.879
denver,1024,256,1,dynamic,1,9235.587
denver,1024,256,2,dynamic,1,4720.831
cortex,1024,512,1,dynamic,1,12624.031
cortex,1024,512,2,dynamic,1,6964.790
denver,1024,512,1,dynamic,1,9390.704
denver,1024,512,2,dynamic,1,5085.186
cortex,64,64,1,dynamic,3,12641.413
cortex,64,64,2,dynamic,3,7202.991
cortex,64,64,3,dynamic,3,5471.460
cortex,64,64,4,dynamic,3,4688.894
denver,64,64,1,dynamic,3,9189.233
denver,64,64,2,dynamic,3,5230.378
full_system,64,64,6,dynamic,3,3946.464
cortex,64,128,1,dynamic,3,12629.891
cortex,64,128,2,dynamic,3,7380.344
cortex,64,128,3,dynamic,3,5590.024
cortex,64,128,4,dynamic,3,4771.682
denver,64,128,1,dynamic,3,9192.087
denver,64,128,2,dynamic,3,5362.073
full_system,64,128,6,dynamic,3,3966.304
cortex,64,256,1,dynamic,3,12649.687
cortex,64,256,2,dynamic,3,7221.095
cortex,64,256,3,dynamic,3,5687.094
cortex,64,256,4,dynamic,3,4855.211
denver,64,256,1,dynamic,3,9265.624
denver,64,256,2,dynamic,3,5342.816
full_system,64,256,6,dynamic,3,4252.417
cortex,64,512,1,dynamic,3,12628.389
cortex,64,512,2,dynamic,3,7297.365
cortex,64,512,3,dynamic,3,5952.623
cortex,64,512,4,dynamic,3,4585.888
denver,64,512,1,dynamic,3,9587.261
denver,64,512,2,dynamic,3,5533.404
full_system,64,512,6,dynamic,3,4229.381
cortex,64,1024,1,dynamic,3,12639.932
cortex,64,1024,2,dynamic,3,6983.210
cortex,64,1024,3,dynamic,3,5141.106
cortex,64,1024,4,dynamic,3,4417.915
denver,64,1024,1,dynamic,3,9588.702
denver,64,1024,2,dynamic,3,5280.285
full_system,64,1024,6,dynamic,3,3200.408
cortex,128,64,1,dynamic,3,12633.476
cortex,128,64,2,dynamic,3,6512.248
cortex,128,64,3,dynamic,3,5012.364
cortex,128,64,4,dynamic,3,4170.211
denver,128,64,1,dynamic,3,9575.465
denver,128,64,2,dynamic,3,4928.604
full_system,128,64,6,dynamic,3,3232.377
cortex,128,128,1,dynamic,3,12640.943
cortex,128,128,2,dynamic,3,6541.381
cortex,128,128,3,dynamic,3,5029.010
cortex,128,128,4,dynamic,3,4232.767
denver,128,128,1,dynamic,3,9417.077
denver,128,128,2,dynamic,3,4782.537
