######################################
Exploring the best parameters for the kernel blur2
using urrot2_neon_div8_u16
######################################
cpu,th,tw,threads,schedule,schedule_n,time
cortex,1024,512,1,static,2,1172.255
cortex,1024,512,2,static,2,1204.826
denver,1024,512,1,static,2,951.054
denver,1024,512,2,static,2,956.947
cortex,64,64,1,static,3,10130.027
cortex,64,64,2,static,3,5025.090
cortex,64,64,3,static,3,3439.710
cortex,64,64,4,static,3,2680.694
denver,64,64,1,static,3,8531.046
denver,64,64,2,static,3,4438.108
full_system,64,64,6,static,3,1998.363
cortex,64,128,1,static,3,4742.624
cortex,64,128,2,static,3,2569.115
cortex,64,128,3,static,3,1895.784
cortex,64,128,4,static,3,1450.133
denver,64,128,1,static,3,4207.309
denver,64,128,2,static,3,2252.657
full_system,64,128,6,static,3,1077.884
cortex,64,256,1,static,3,2392.654
cortex,64,256,2,static,3,1421.992
cortex,64,256,3,static,3,991.528
cortex,64,256,4,static,3,793.741
denver,64,256,1,static,3,2071.757
denver,64,256,2,static,3,1131.406
full_system,64,256,6,static,3,1083.926
cortex,64,512,1,static,3,1244.334
cortex,64,512,2,static,3,739.147
cortex,64,512,3,static,3,544.188
cortex,64,512,4,static,3,476.997
denver,64,512,1,static,3,983.040
denver,64,512,2,static,3,600.802
full_system,64,512,6,static,3,510.924
cortex,64,1024,1,static,3,637.547
cortex,64,1024,2,static,3,389.059
cortex,64,1024,3,static,3,268.666
cortex,64,1024,4,static,3,297.959
denver,64,1024,1,static,3,356.639
denver,64,1024,2,static,3,223.118
full_system,64,1024,6,static,3,375.463
cortex,128,64,1,static,3,10453.488
cortex,128,64,2,static,3,5128.340
cortex,128,64,3,static,3,3663.170
cortex,128,64,4,static,3,2658.466
denver,128,64,1,static,3,8599.013
denver,128,64,2,static,3,4357.814
full_system,128,64,6,static,3,2285.673
cortex,128,128,1,static,3,4897.386
cortex,128,128,2,static,3,2579.273
cortex,128,128,3,static,3,1931.988
cortex,128,128,4,static,3,1448.241
denver,128,128,1,static,3,4209.445
denver,128,128,2,static,3,2208.302
full_system,128,128,6,static,3,1249.561
cortex,128,256,1,static,3,2442.675
cortex,128,256,2,static,3,1301.160
cortex,128,256,3,static,3,961.507
cortex,128,256,4,static,3,793.303
denver,128,256,1,static,3,2042.631
denver,128,256,2,static,3,1090.603
full_system,128,256,6,static,3,1026.686
cortex,128,512,1,static,3,1189.790
cortex,128,512,2,static,3,685.047
cortex,128,512,3,static,3,532.273
cortex,128,512,4,static,3,450.858
denver,128,512,1,static,3,889.745
denver,128,512,2,static,3,545.782
full_system,128,512,6,static,3,528.073
cortex,128,1024,1,static,3,583.093
